NO,KODE BARANG,REG,NAMA BARANG / JENIS BARANG,UKURAN CC,SATUAN,TAHUN PEMBELIAN,BAHAN,MERK, TYPE,Tanggal & No BAST,, HARGA (Rp.) ,SUMBER DANA,Kondisi Barang,,,Masuk Dalam KIB,,PENGEMBANG,KEBERADAAN BARANG,
3,132100203003,004498,Printer,1,Unit,2021,Campuran,Priter Laserjet Color Pro, MFP M283fdn,15 -06-2021,S10001097972," 8,690,000 ",BOS TW 2,Baik,-,-,Ya,,CV WIRA DHARMA,Di Anwar,
4,132100102001,012413  012414,Komputer PC,2,Unit,2021,Campuran,Lenovo , V530 i7-9700,15 -06-2021,S10001097972," 25,080,000 ",BOS TW 2,Baik,-,-,Ya,,CV WIRA DHARMA,Di Wkil dan Di Kepsek,
5,132100102001,,Komputer PC,2,Unit,2021,Campuran,LENOVO ,V530S  Core I7,15-09-2021,S10001567788," 25,080,000 ",BOS TW 3,Baik,-,-,Ya,,LINTAS ERA DIGITAL,Di Lab Komputer,
6,132050105043,,LCD Proyektor,2,Unit,2021,Campuran,Epson ,EB E-500,15-09-2021,S10001567788," 11,900,000 ",BOS TW 3,Baik,-,-,Ya,,LINTAS ERA DIGITAL,Di TU,
7,132050204004,,Ac Split,4,Unit,2021,Campuran,SHARP,J-TECH INVERTER,29-11-2021,S10001936686," 43,120,000 ",BOS TW 4,Baik,-,-,Ya,,"ABADI GUNA MANDIRI, PT","Di Perpus 2 , Di Pertasi 1  , Di UKS 1",
8,132060201006,,Handy Talkie,4,Unit,2021,Campuran,Icom,IC-V85,13-12-2021,S10001999440," 9,680,000 ",BOS TW 4,Baik,-,-,Ya,,CV.EDUTAMA SINERGI,"Di Satpam 1 , Di Waksek 1, Di Kepsek 1 , Di TU 1",
9,132100204001,,Server,1,Unit,2021,Campuran,Dell,E30S,08-12-2021,S10002005161," 47,000,000 ",BOS TW 4,Baik,-,-,Ya,,PT.BANGUN NIAGA GEMILANG,Di Lab Kom,
10,132100102001,,Komputer Pc,4,Unit,2021,Campuran,Rakitan,Gigabyte B360M DS3H,08-12-2021,S10002052368," 48,400,000 ",BOS TW 4,Baik,-,-,Ya,,CV.JALA GABE MANDIRI,"Di Bu Wiwik 1 , Di Lab Kom 3",
11,132100203003,,Printer,1,Unit,2021,Campuran,HP,Laser Pro MFP M435nw,08-12-2021,S10002052355," 15,950,000 ",BOS TW 4,Baik,-,-,Ya,,CV.JALA GABE MANDIRI,Di Meja Hamid,
12,132080134057,,Mesin Steam,1,Unit,2021,Campuran,Krisbow,Frhpe 130,13-12-2021,S10001999440," 3,575,000 ",BOS TW 4,Baik,-,-,Ya,,CV.EDUTAMA SINERGI,Di TU Depan,
13,132100204026,,Acces Point outdoor WIFI,5,Unit,2021,Campuran,Unifi,UAP AC PRO,13-12-2021,S10002107238," 11,550,000 ",BOS TW 4,Baik,-,-,Ya,,CV.JALA GABE MANDIRI,Di Lemari Besi TU,
14,132080141249,,Ups,5,Unit,2021,Campuran,Prolik,PRO1201SFCU,13-12-2021,S10002107270," 19,250,000 ",BOS TW 4,Baik,-,-,Ya,,CV.JALA GABE MANDIRI,Di Lab Kom,
15,132050104001,,Lemari Besi,3,Buah,2021,Besi,Delica,,13-12-2021,S10001999440," 11,385,000 ",BOS TW 4,Baik,-,-,Ya,,CV.EDUTAMA SINERGI,Di TU,
16,132100203003,,Printer Laer Berwarna Laser Colour,1,Unit,2021,Campuran,HP,Color Laser Pro M155a,10-12-2021,S10002093016," 5,855,080 ",BOS TW 4,Baik,-,-,Ya,,CV.JALA GABE MANDIRI,Di Lab Kom ,
17,132100205001,,Software/Aplikasi Lainnya,1,Unit,2021,,,,10-12-2021,S10002099268," 49,126,000 ",BOS TW 4,Baik,-,-,Ya,,CV.DIAN GLOBAL TECH,,
18,132050105005,,White Board,7,Buah,2021,,,,10-12-2021,885/OLN-BAST/XII/2021," 19,858,300 ",BOS TW 4,Baik,-,-,Ya,,PT.PUTRI LEMBAYUNG NINGRUM,Di Sanggar Budaya,
19,132060102163,,Webcam,21,Unit,2021,Campuran,Ausdom,AF640,12-11-2021,1533a/-073.61," 25,987,500 ",BOS TW 4,Baik,-,-,Ya,,LINTAS ERA DIGITAL,"Di Wakil , Di BK, Di Kepsek, Di Kelas, Di TU, Di Ruang Guru, Di Avis",
